City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-05-20 14:39:10,60.9167,-46.05,43.02,56,36,4.34
1,Saint George,US,2022-05-20 14:36:10,37.1041,-113.5841,61.79,18,0,14.97
2,Rorvik,NO,2022-05-20 14:39:11,64.8621,11.2373,64.38,59,20,5.75
3,Batagay,RU,2022-05-20 14:39:11,67.6333,134.6333,32.67,91,23,3.94
4,Abu Zabad,SD,2022-05-20 14:39:11,12.35,29.25,103.6,10,12,8.28
5,Avarua,CK,2022-05-20 14:39:12,-21.2078,-159.775,75.25,83,75,3.44
6,Bethel,US,2022-05-20 14:39:12,41.3712,-73.414,59.85,88,100,5.75
7,Walvis Bay,NA,2022-05-20 14:39:13,-22.9575,14.5053,62.1,65,0,23.26
8,La Palma,US,2022-05-20 14:39:13,33.8464,-118.0467,62.24,89,100,6.91
9,San Andres,CO,2022-05-20 14:39:14,12.5847,-81.7006,84.22,84,75,5.75
10,Gizo,SB,2022-05-20 14:39:14,-8.103,156.8419,82.11,74,6,4.59
11,Senno,RU,2022-05-20 14:39:14,59.5336,33.9167,52.27,34,46,3.87
12,Chicama,PE,2022-05-20 14:39:15,-7.8447,-79.1469,61.34,72,65,6.55
13,Hualmay,PE,2022-05-20 14:39:15,-11.0964,-77.6139,67.91,82,66,8.57
14,Vao,NC,2022-05-20 14:39:15,-22.6667,167.4833,74.88,84,100,22.82
15,Pangnirtung,CA,2022-05-20 14:36:12,66.1451,-65.7125,34.75,77,100,0.63
16,Hermanus,ZA,2022-05-20 14:39:16,-34.4187,19.2345,57.79,65,76,7.49
17,Puerto Ayora,EC,2022-05-20 14:39:16,-0.7393,-90.3518,76.96,96,65,1.99
18,Mataura,NZ,2022-05-20 14:36:11,-46.1927,168.8643,44.38,94,100,12.28
19,Puerto Vallarta,MX,2022-05-20 14:35:48,20.6204,-105.2307,79.92,69,75,1.01
20,Punta Arenas,CL,2022-05-20 14:31:23,-53.15,-70.9167,41.11,87,100,6.91
21,Baghdad,IQ,2022-05-20 14:37:16,33.3406,44.4009,96.71,7,20,19.57
22,Airai,TL,2022-05-20 14:39:17,-8.9266,125.4092,58.14,88,16,3.71
23,Kunigal,IN,2022-05-20 14:39:17,13.0222,77.0267,71.38,89,81,9.4
24,Ushuaia,AR,2022-05-20 14:39:18,-54.8,-68.3,44.26,70,20,6.91
25,Sitka,US,2022-05-20 14:39:18,57.0531,-135.33,46.29,87,20,10.36
26,Kumba,CM,2022-05-20 14:39:19,4.6363,9.4469,80.47,83,87,2.89
27,Chake Chake,TZ,2022-05-20 14:39:19,-5.2459,39.7666,78.55,80,76,7.25
28,Roma,US,2022-05-20 14:39:17,43.2128,-75.4557,75.81,68,0,10.36
29,Price,US,2022-05-20 14:39:20,39.5994,-110.8107,47.12,30,100,10.36
30,Erzin,TR,2022-05-20 14:39:20,36.9559,36.2,75.69,32,0,9.91
31,Vanavara,RU,2022-05-20 14:39:20,60.34,102.2797,52.52,90,90,2.89
32,Yerbogachen,RU,2022-05-20 14:39:21,61.2767,108.0108,48.63,72,100,4.85
33,Kapaa,US,2022-05-20 14:39:21,22.0752,-159.319,72.12,97,75,3.44
34,Meridian,US,2022-05-20 14:35:33,43.6121,-116.3915,45.09,67,0,12.66
35,Ambulu,ID,2022-05-20 14:39:22,-8.345,113.6058,77.43,89,95,2.37
36,Rikitea,PF,2022-05-20 14:36:00,-23.1203,-134.9692,73.89,79,100,10.87
37,Albany,US,2022-05-20 14:36:00,42.6001,-73.9662,70.95,73,29,1.99
38,Carnarvon,AU,2022-05-20 14:39:23,-24.8667,113.6333,71.98,67,0,19.17
39,Atuona,PF,2022-05-20 14:39:23,-9.8,-139.0333,77.58,69,13,9.01
40,Port Alfred,ZA,2022-05-20 14:36:03,-33.5906,26.891,58.17,95,100,3.0
41,Qaanaaq,GL,2022-05-20 14:39:24,77.484,-69.3632,17.42,68,16,1.79
42,Busselton,AU,2022-05-20 14:36:10,-33.65,115.3333,57.43,84,2,6.71
43,Komsomolskiy,UZ,2022-05-20 14:39:24,40.4272,71.7189,77.72,31,100,13.8
44,Korla,CN,2022-05-20 14:39:24,41.7597,86.1469,81.99,15,100,11.52
45,Yellowknife,CA,2022-05-20 14:35:01,62.456,-114.3525,45.12,39,75,0.0
46,San Lawrenz,MT,2022-05-20 14:39:25,36.0553,14.204,72.81,67,0,5.46
47,Burnie,AU,2022-05-20 14:40:26,-41.0667,145.9167,45.95,89,53,6.58
48,Oranjemund,NA,2022-05-20 14:40:26,-28.55,16.4333,57.49,65,9,12.26
49,Ilulissat,GL,2022-05-20 14:40:27,69.2167,-51.1,35.62,51,75,4.61
50,Torbay,CA,2022-05-20 14:40:27,47.6666,-52.7314,56.88,64,40,10.36
51,Saint-Francois,FR,2022-05-20 14:40:27,46.4154,3.9054,89.04,27,0,10.36
52,Cape Town,ZA,2022-05-20 14:40:28,-33.9258,18.4232,63.01,70,20,13.8
53,Rio Gallegos,AR,2022-05-20 14:38:36,-51.6226,-69.2181,42.85,87,75,13.8
54,Coihaique,CL,2022-05-20 14:40:28,-45.5752,-72.0662,38.01,93,75,3.44
55,Yar-Sale,RU,2022-05-20 14:40:28,66.8333,70.8333,34.38,95,100,25.57
56,Hilo,US,2022-05-20 14:36:11,19.7297,-155.09,84.27,92,100,3.44
57,Altay,CN,2022-05-20 14:40:29,47.8667,88.1167,63.07,52,8,7.38
58,Mandera,KE,2022-05-20 14:40:29,3.9366,41.867,85.03,52,100,16.04
59,Vaini,TO,2022-05-20 14:40:30,-21.2,-175.2,73.56,88,75,4.61
60,Calabozo,VE,2022-05-20 14:40:30,8.9242,-67.4293,87.82,50,27,5.08
61,Colares,PT,2022-05-20 14:40:30,38.7992,-9.4469,89.26,48,0,14.97
62,Aklavik,CA,2022-05-20 14:40:31,68.2191,-135.0107,37.4,75,75,3.44
63,Naryan-Mar,RU,2022-05-20 14:40:31,67.6713,53.087,32.04,88,100,16.04
64,Nanortalik,GL,2022-05-20 14:40:32,60.1432,-45.2371,39.0,76,72,7.05
65,Musoma,TZ,2022-05-20 14:40:32,-1.5,33.8,75.07,67,100,9.62
66,Bathsheba,BB,2022-05-20 14:40:32,13.2167,-59.5167,86.61,66,20,19.57
67,Geraldton,AU,2022-05-20 14:40:32,-28.7667,114.6,57.61,94,11,6.91
68,Hobart,AU,2022-05-20 14:33:56,-42.8794,147.3294,46.06,89,40,9.22
69,Cidreira,BR,2022-05-20 14:40:33,-30.1811,-50.2056,60.01,69,0,9.84
70,Kahului,US,2022-05-20 14:40:33,20.8947,-156.47,77.02,83,75,6.91
71,Te Anau,NZ,2022-05-20 14:40:34,-45.4167,167.7167,41.7,94,96,3.85
72,Arraial Do Cabo,BR,2022-05-20 14:40:34,-22.9661,-42.0278,69.76,73,40,21.85
73,Ambilobe,MG,2022-05-20 14:40:35,-13.2,49.05,75.6,74,100,2.77
74,Kavieng,PG,2022-05-20 14:40:35,-2.5744,150.7967,81.86,77,10,9.86
75,Grindavik,IS,2022-05-20 14:40:35,63.8424,-22.4338,55.87,67,75,11.5
76,Hvolsvollur,IS,2022-05-20 14:40:36,63.7533,-20.2243,50.67,73,100,10.54
77,La Asuncion,VE,2022-05-20 14:40:36,11.0333,-63.8628,71.33,100,2,16.11
78,Labuhan,ID,2022-05-20 14:40:36,-6.8844,112.2051,79.38,85,100,8.34
79,Kodiak,US,2022-05-20 14:40:37,57.79,-152.4072,38.71,87,40,3.44
80,Cabedelo,BR,2022-05-20 14:40:37,-6.9811,-34.8339,86.67,74,57,9.24
81,Norman Wells,CA,2022-05-20 14:40:37,65.282,-126.8329,42.84,87,75,0.0
82,Butaritari,KI,2022-05-20 14:40:38,3.0707,172.7902,81.41,73,92,12.66
83,Esperance,AU,2022-05-20 14:40:38,-33.8667,121.9,63.27,71,96,7.2
84,Piacabucu,BR,2022-05-20 14:40:38,-10.4056,-36.4344,77.56,90,92,13.91
85,Guatire,VE,2022-05-20 14:40:39,10.4762,-66.5427,88.7,43,10,4.18
86,Sarh,TD,2022-05-20 14:40:39,9.1429,18.3923,98.51,41,20,6.91
87,Yulara,AU,2022-05-20 14:36:04,-25.2406,130.9889,58.82,57,2,10.29
88,Ondangwa,NA,2022-05-20 14:40:40,-17.9167,15.95,89.6,12,0,9.22
89,Longyearbyen,SJ,2022-05-20 14:40:40,78.2186,15.6401,31.84,64,0,8.05
90,Karpogory,RU,2022-05-20 14:41:40,64.0019,44.4451,40.3,57,100,9.66
91,Lebu,CL,2022-05-20 14:41:41,-37.6167,-73.65,53.56,86,80,9.75
92,Port Blair,IN,2022-05-20 14:41:41,11.6667,92.75,84.24,84,100,9.22
93,Hasaki,JP,2022-05-20 14:39:14,35.7333,140.8333,64.29,76,100,12.93
94,La Ronge,CA,2022-05-20 14:41:42,55.1001,-105.2842,35.85,55,100,14.97
95,Barrow,US,2022-05-20 14:41:42,71.2906,-156.7887,30.22,93,100,10.36
96,Clyde River,CA,2022-05-20 14:41:12,70.4692,-68.5914,23.23,86,75,12.66
97,Saskylakh,RU,2022-05-20 14:41:42,71.9167,114.0833,20.71,97,58,0.83
98,Noumea,NC,2022-05-20 14:41:43,-22.2763,166.4572,78.01,99,86,14.0
99,Mar Del Plata,AR,2022-05-20 14:41:43,-38.0023,-57.5575,60.94,57,0,11.5
100,Dikson,RU,2022-05-20 14:41:44,73.5069,80.5464,30.74,74,99,1.99
101,Asyut,EG,2022-05-20 14:41:44,27.181,31.1837,100.58,10,83,16.35
102,Cabo San Lucas,MX,2022-05-20 14:39:55,22.8909,-109.9124,75.61,64,2,8.01
103,Ostersund,SE,2022-05-20 14:41:44,63.1792,14.6357,61.25,51,0,4.61
104,Faanui,PF,2022-05-20 14:41:45,-16.4833,-151.75,80.31,71,10,11.43
105,New Norfolk,AU,2022-05-20 14:41:45,-42.7826,147.0587,45.72,81,8,2.21
106,Talara,PE,2022-05-20 14:41:45,-4.5772,-81.2719,70.56,73,0,25.32
107,Doka,SD,2022-05-20 14:41:46,13.5167,35.7667,104.2,13,97,11.63
108,Adrar,MR,2022-05-20 14:41:46,20.5022,-10.0711,105.64,4,39,9.33
109,Falmouth,GB,2022-05-20 14:41:46,50.1544,-5.0711,59.9,88,20,16.11
110,Jamestown,US,2022-05-20 14:36:01,42.097,-79.2353,72.01,78,100,8.01
111,Argentan,FR,2022-05-20 14:41:47,48.75,-0.0167,63.25,69,94,9.6
112,Tiksi,RU,2022-05-20 14:41:47,71.6872,128.8694,30.34,87,100,7.16
113,Bredasdorp,ZA,2022-05-20 14:41:47,-34.5322,20.0403,59.14,61,69,8.55
114,Victoria,HK,2022-05-20 14:39:17,22.2855,114.1577,81.18,82,14,5.01
115,Outjo,NA,2022-05-20 14:41:48,-20.1167,16.15,68.45,9,0,16.37
116,Havre-Saint-Pierre,CA,2022-05-20 14:41:48,50.2334,-63.5986,52.16,54,100,6.91
117,Goderich,CA,2022-05-20 14:41:49,43.7501,-81.7165,73.72,60,100,20.71
118,East London,ZA,2022-05-20 14:41:49,-33.0153,27.9116,58.14,94,100,11.5
119,San Quintin,MX,2022-05-20 14:41:49,30.4833,-115.95,59.83,77,100,8.63
120,Summerville,US,2022-05-20 14:38:46,33.0185,-80.1757,87.91,64,0,9.22
121,Khatanga,RU,2022-05-20 14:41:50,71.9667,102.5,29.95,89,79,10.04
122,Brae,GB,2022-05-20 14:41:50,60.3964,-1.353,55.22,71,100,12.33
123,Padang,ID,2022-05-20 14:41:50,-0.9492,100.3543,78.85,88,85,2.62
124,Newport,GB,2022-05-20 14:40:19,51.5877,-2.9984,64.08,72,23,21.97
125,Thompson,CA,2022-05-20 14:41:51,55.7435,-97.8558,32.16,69,100,12.66
126,Shingu,JP,2022-05-20 14:39:15,33.7333,135.9833,63.03,72,100,6.87
127,Cayenne,GF,2022-05-20 14:40:43,4.9333,-52.3333,84.09,1,100,4.61
128,Husavik,IS,2022-05-20 14:41:51,66.0449,-17.3389,54.03,60,100,7.94
129,Shabqadar,PK,2022-05-20 14:41:52,34.2139,71.5552,88.02,21,55,13.06
130,Lasa,IT,2022-05-20 14:41:52,46.6166,10.7002,78.69,45,67,4.41
131,Provideniya,RU,2022-05-20 14:41:52,64.3833,-173.3,38.23,82,52,8.1
132,Lompoc,US,2022-05-20 14:41:52,34.6391,-120.4579,57.92,82,100,5.01
133,Northam,GB,2022-05-20 14:41:53,51.0333,-4.2167,60.39,87,35,23.96
134,Taltal,CL,2022-05-20 14:41:53,-25.4,-70.4833,67.51,60,0,4.94
135,Darab,IR,2022-05-20 14:42:53,28.7519,54.5444,92.95,8,0,6.33
136,Fortuna,US,2022-05-20 14:42:54,40.5982,-124.1573,47.98,86,0,9.22
137,Chokurdakh,RU,2022-05-20 14:42:54,70.6333,147.9167,28.35,96,99,7.87
138,Srandakan,ID,2022-05-20 14:42:55,-7.9386,110.2506,78.12,91,100,4.09
139,Indramayu,ID,2022-05-20 14:42:55,-6.3264,108.32,81.19,79,80,4.05
140,Zlatoust,RU,2022-05-20 14:42:55,55.1711,59.6508,44.65,64,100,3.58
141,Kaitangata,NZ,2022-05-20 14:42:56,-46.2817,169.8464,44.33,90,99,19.24
142,Ribeira Grande,PT,2022-05-20 14:42:56,38.5167,-28.7,64.8,82,75,2.3
143,Berlevag,NO,2022-05-20 14:42:57,70.8578,29.0864,39.15,60,75,13.8
144,Mayo,US,2022-05-20 14:42:57,38.8876,-76.5119,84.13,73,40,5.01
145,Iztapa,GT,2022-05-20 14:42:57,13.9333,-90.7075,77.05,94,100,0.0
146,Jaboticabal,BR,2022-05-20 14:42:58,-21.2547,-48.3222,66.18,38,0,3.91
147,Suoyarvi,RU,2022-05-20 14:42:58,62.0833,32.35,51.93,39,83,3.11
148,Srednekolymsk,RU,2022-05-20 14:42:58,67.45,153.6833,48.9,62,100,4.07
149,Senador Jose Porfirio,BR,2022-05-20 14:42:59,-2.5908,-51.9542,74.17,93,100,2.13
150,Hofn,IS,2022-05-20 14:42:59,64.2539,-15.2082,50.02,87,100,11.5
151,Turayf,SA,2022-05-20 14:39:24,31.6725,38.6637,88.05,15,0,0.0
152,Vila Velha,BR,2022-05-20 14:42:59,-20.3297,-40.2925,78.75,36,20,6.91
153,Tuatapere,NZ,2022-05-20 14:43:00,-46.1333,167.6833,48.18,81,100,18.97
154,Petropavlovsk-Kamchatskiy,RU,2022-05-20 14:43:00,53.0452,158.6483,37.99,100,100,4.47
155,Honningsvag,NO,2022-05-20 14:43:01,70.9821,25.9704,42.55,56,0,12.66
156,Ponta Do Sol,PT,2022-05-20 14:43:01,32.6667,-17.1,74.12,82,39,3.44
157,Ancud,CL,2022-05-20 14:43:01,-41.8697,-73.8203,52.2,88,100,22.1
158,Ulaangom,MN,2022-05-20 14:43:01,49.9811,92.0667,61.83,42,41,9.82
159,Sugar Hill,US,2022-05-20 14:43:02,34.1065,-84.0335,81.52,68,0,9.22
160,Poum,NC,2022-05-20 14:43:02,-20.2333,164.0167,78.04,81,1,8.39
161,Taree,AU,2022-05-20 14:43:03,-31.9,152.4667,57.11,100,75,6.91
162,Pevek,RU,2022-05-20 14:43:03,69.7008,170.3133,33.53,98,100,5.7
163,Stepnyak,KZ,2022-05-20 14:43:04,52.8339,70.7803,57.29,63,99,4.47
164,Saskatoon,CA,2022-05-20 14:43:04,52.1168,-106.6345,38.16,60,100,16.11
165,Codrington,AU,2022-05-20 14:43:04,-38.2667,141.9667,44.17,90,11,6.46
166,Delta Del Tigre,UY,2022-05-20 14:43:05,-34.7633,-56.3853,55.81,76,0,10.36
167,Makakilo City,US,2022-05-20 14:43:06,21.3469,-158.0858,77.32,87,100,0.0
168,Tukan,RU,2022-05-20 14:43:06,53.8409,57.4552,45.77,66,100,2.13
169,Chuy,UY,2022-05-20 14:43:06,-33.6971,-53.4616,57.83,57,2,8.99
170,Port Elizabeth,ZA,2022-05-20 14:43:07,-33.918,25.5701,58.1,96,100,4.0
171,Golyshmanovo,RU,2022-05-20 14:43:07,56.3979,68.3728,49.06,54,68,11.97
172,Bambanglipuro,ID,2022-05-20 14:43:08,-7.95,110.2833,77.99,90,100,4.5
173,Emilio Carranza,MX,2022-05-20 14:43:08,19.9711,-96.6114,86.14,61,3,4.5
174,Klaksvik,FO,2022-05-20 14:43:10,62.2266,-6.589,50.92,98,100,19.66
175,Tura,IN,2022-05-20 14:40:10,25.5198,90.2201,72.5,96,5,3.65
176,Crotone,IT,2022-05-20 14:43:10,39.0851,17.1178,80.55,25,0,8.05
177,Castro,BR,2022-05-20 14:36:07,-24.7911,-50.0119,58.96,47,0,3.67
178,Constitucion,CL,2022-05-20 14:43:11,-35.3333,-72.4167,57.04,78,32,4.0
179,Arman,RU,2022-05-20 14:43:11,59.7,150.1667,35.02,98,100,8.57
180,Southbridge,US,2022-05-20 14:43:11,42.0751,-72.0334,71.37,47,25,5.68
181,Beringovskiy,RU,2022-05-20 14:43:12,63.05,179.3167,32.36,95,100,3.58
182,Tahta,EG,2022-05-20 14:43:12,26.7693,31.5021,97.72,9,100,14.36
183,Kaduna,NG,2022-05-20 14:42:42,10.5222,7.4383,92.57,34,84,4.12
184,Wajir,KE,2022-05-20 14:44:13,1.7471,40.0573,91.36,46,40,0.0
185,Pakokku,MM,2022-05-20 14:44:13,21.3333,95.1,88.16,58,100,5.39
186,Contamana,PE,2022-05-20 14:44:13,-7.3333,-75.0167,77.45,58,97,0.81
187,Ulladulla,AU,2022-05-20 14:44:14,-35.35,150.4667,53.76,76,100,4.92
188,Canico,PT,2022-05-20 14:44:14,32.6333,-16.85,74.12,85,75,11.5
189,Port Lincoln,AU,2022-05-20 14:44:15,-34.7333,135.8667,58.21,62,8,14.67
190,Griffith,US,2022-05-20 14:44:15,41.5284,-87.4237,80.31,71,40,16.11
191,Biak,ID,2022-05-20 14:44:15,-0.9131,122.8766,77.07,83,82,6.76
192,Samfya,ZM,2022-05-20 14:44:16,-11.3649,29.5565,74.84,52,80,1.52
193,Samthar,IN,2022-05-20 14:44:16,25.85,78.9167,105.33,10,2,6.87
194,Touros,BR,2022-05-20 14:44:16,-5.1989,-35.4608,86.56,61,32,7.92
195,Bay Roberts,CA,2022-05-20 14:44:17,47.5999,-53.2648,57.65,56,90,5.01
196,Pesnica Pri Mariboru,SI,2022-05-20 14:44:17,46.6069,15.6767,87.08,47,0,13.8
197,Kibre Mengist,ET,2022-05-20 14:44:18,5.8833,38.9833,63.75,89,100,3.96
198,Yeppoon,AU,2022-05-20 14:44:18,-23.1333,150.7333,60.58,91,100,23.42
199,Bluff,NZ,2022-05-20 14:35:57,-46.6,168.3333,50.4,69,81,32.64
200,Nikolskoye,RU,2022-05-20 14:36:10,59.7035,30.7861,53.49,41,96,7.54
201,Lexington,US,2022-05-20 14:42:02,37.9887,-84.4777,80.33,65,0,19.57
202,Mimarsinan,TR,2022-05-20 14:42:07,41.0032,28.5377,71.19,49,2,16.24
203,Nacala,MZ,2022-05-20 14:44:19,-14.5428,40.6728,75.83,75,59,5.01
204,Andenes,NO,2022-05-20 14:44:19,69.3143,16.1194,48.18,61,75,6.91
205,Ust-Kut,RU,2022-05-20 14:44:20,56.7938,105.7672,61.59,51,100,2.77
206,Pacific Grove,US,2022-05-20 14:39:41,36.6177,-121.9166,53.51,85,0,15.99
207,Tazmalt,DZ,2022-05-20 14:44:20,36.3868,4.3989,89.98,22,0,1.81
208,Tautira,PF,2022-05-20 14:44:21,-17.7333,-149.15,79.02,74,24,8.99
209,Portoferraio,IT,2022-05-20 14:44:21,42.8115,10.3146,77.16,53,0,11.5
210,San Patricio,US,2022-05-20 14:44:21,28.017,-97.5169,84.92,57,35,22.86
211,Tostedt,DE,2022-05-20 14:44:22,53.2833,9.7167,69.82,63,73,4.56
212,Weligama,LK,2022-05-20 14:44:22,5.9667,80.4167,78.84,90,77,8.1
213,Miri,MY,2022-05-20 14:44:22,4.4148,114.0089,78.94,94,40,2.3
214,Ponta Delgada,PT,2022-05-20 14:44:23,37.7333,-25.6667,65.12,72,20,12.66
215,Natal,BR,2022-05-20 14:44:23,-5.795,-35.2094,88.02,66,40,9.22
216,Martapura,ID,2022-05-20 14:44:23,-3.4167,114.85,77.09,94,40,0.0
217,Governador Valadares,BR,2022-05-20 14:44:24,-18.8511,-41.9494,74.39,41,10,3.69
218,Sur,OM,2022-05-20 14:44:24,22.5667,59.5289,95.2,37,0,4.16
219,Polonnaruwa,LK,2022-05-20 14:44:25,7.9333,81.0,81.84,68,28,12.21
220,Colquiri,BO,2022-05-20 14:44:25,-17.4167,-67.1333,42.93,20,29,3.15
221,Eyrarbakki,IS,2022-05-20 14:44:25,63.863,-21.1481,55.45,71,100,12.15
222,Baiyin,CN,2022-05-20 14:44:26,36.5583,104.2081,69.28,30,100,7.45
223,Bambous Virieux,MU,2022-05-20 14:44:26,-20.3428,57.7575,76.21,83,75,13.8
224,Coquimbo,CL,2022-05-20 14:44:27,-29.9533,-71.3436,60.53,51,0,6.91
225,Denia,ES,2022-05-20 14:44:27,38.8408,0.1057,81.55,69,38,8.99
226,Sangmelima,CM,2022-05-20 14:44:27,2.9333,11.9833,73.87,95,100,3.53
